Filière (licence),Code,Établissement (université),Parcours (spécialité),Série (type_bac),Formule du score (T),Conditions (formule),Bandeau (critères)
Licence en Anthropologie,10118,Institut Supérieur des Sciences Humaines de Tunis,"Anthropologie Sociale et
Culturelle",Bac Général,( Sc.Eco.S,exigée),
Licence en Anthropologie,30118,Faculté des Lettres et des Sciences Humaines de Sousse,Anthropologie,Bac Général,( Sc.Eco.S,exigée),
Licence en Anthropologie,56118,Institut Supérieur des Arts et Métiers de Tataouine,"Anthropologie Sociale et
Culturelle",Bac Général,( Sc.Eco.S,exigée),
Licence en Sociologie,10120,Faculté des Sciences Humaines et Sociales de Tunis,"Médiation, Régulation et
Intervention Sociologique
Jeunesse, Mobilités et Inclusion
Sociale
Démographie, Politiques
Publiques et Développement
Durable",Bac Général,( Sc.Eco.S,exigée),
Licence en Sociologie,11120,Institut Supérieur des Sciences Humaines de Tunis,"Culture et Communication
Développement Humain et
Questions Sociales",Bac Général,( Sc.Eco.S,exigée),
Licence en Sociologie,40120,Faculté des Lettres et des Sciences Humaines de Sfax,"Démographie, Politiques
Publiques et Développement
Durable
Jeunesse, Mobilités et Inclusion
Sociale
Médiation, Régulation et
Intervention Sociologique",Bac Général,( Sc.Eco.S,exigée),
Licence en Sociologie,60120,Institut Supérieur des Etudes Appliquées en Humanités de Gafsa,"Médiation, Régulation et
Intervention Sociologique",Bac Général,( Sc.Eco.S,exigée),
Licence en Psychologie,10121,Faculté des Sciences Humaines et Sociales de Tunis,Psychologie,Bac Général,,,
Licence en Psychologie,11121,Institut Supérieur des Sciences Humaines de Tunis,Psychologie,Bac Général,,,
Licence en Philosophie,10122,Faculté des Sciences Humaines et Sociales de Tunis,Philosophie,Bac Général,,,
Licence en Philosophie,11122,Institut Supérieur des Sciences Humaines de Tunis,Philosophie,Bac Général,,,
Licence en Philosophie,40122,Faculté des Lettres et des Sciences Humaines de Sfax,Philosophie,Bac Général,,,
Licence en Philosophie,70122,Faculté des Lettres et des Sciences Humaines de Kairouan,Philosophie,,Bac Général,,
Licence en Histoire,10123,Faculté des Sciences Humaines et Sociales de Tunis,"Archéologie et Sciences du
Patrimoine
Histoire",Bac Général,,,
Licence en Histoire,11123,"Faculté des Lettres, des Arts et des Humanités de la Manouba","Histoire de l'Art et Archéologie
Histoire Economique et Sociale
Archéologie et Sciences du
Patrimoine",Bac Général,,,
Licence en Histoire,30123,Faculté des Lettres et des Sciences Humaines de Sousse,"Histoire
Archéologie et Sciences du
Patrimoine
Histoire de l'Art",Bac Général,,,
Licence en Histoire,40123,Faculté des Lettres et des Sciences Humaines de Sfax,"Histoire
Archéologie et Sciences du
Patrimoine",Bac Général,,,
Licence en Histoire,80123,Institut Supérieur des Sciences Humaines de Jendouba,"Archéologie et Sciences du
Patrimoine
Histoire",Bac Général,,,
Licence en Géographie,10124,Faculté des Sciences Humaines et Sociales de Tunis,Géographie,,,,
Licence en Géographie,11124,"Faculté des Lettres, des Arts et des Humanités de la Manouba","Aménagement ,Environnement et
Risques",,,,
Licence en Géographie,30124,Faculté des Lettres et des Sciences Humaines de Sousse,,Risques et Territoires,,,
Licence en Géographie,40124,Faculté des Lettres et des Sciences Humaines de Sfax,"Territoire, Risques et
Développement Durable
Cartographie et Système
d'information Géographique",,,,
"Licence en Sciences
Islamiques",10138,Institut Supérieur de la Civilisation Islamique de Tunis,"Civilisation Islamique
FIKH et ses Fondements
Sciences du Coran et de Hadith
Al-Aqidah et Dialectique",,,,
"Licence en Sciences
Islamiques",70138,Institut Supérieur Des Sciences Islamiques de Kairouan,,Etudes Islamiques,,,
"Licence en Sciences
Théologiques",10139,Institut Supérieur de Théologie de Tunis,"Economie et Finances Islamiques
Coran et Hadith
Civilisation Islamique
Chariaa et Droit
Théologie",,,,
"Licence en Géomatique,
Environnement et
Aménagement",10158,"Faculté des Lettres, des Arts et des Humanités de la Manouba","Géomatique, Environnement et
Aménagement",,,,
"Licence en Géographie de
l'Environnement",80159,Institut Supérieur des Sciences Humaines de Jendouba,Géographie de l’Environnement,,,,
"Licence en Conservation -
Restauration des Biens
Culturels",30162,Institut Supérieur des Beaux-Arts de Sousse,Mosaïque et Surfaces Décorées,Bac Général,,,
"Licence en Conservation -
Restauration des Biens
Culturels",50162,Institut Supérieur des Arts et Métiers de Gabes,Pierres Sculptées,,Bac Général,,
"Licence en Théâtre et
Arts de la Scène
Filière à Test",10200,Institut Supérieur d'Art Dramatique de Tunis,"Art du Comédien
Théâtre Jeune Public et Médiation
Théâtrale
Arts de la Marionnette",Bac Général,,,
"Licence en Théâtre et
Arts de la Scène
Filière à Test",82200,Institut Supérieur de Musique et du Théâtre du Kef,"Art du Comédien
Théâtre pour Enfants",Bac Général,,,
"Licence en Musique et
Musicologie
Filière à Test",10201,Institut Supérieur de Musique de Tunis,"Musique et Interprétation
Musique et Musicologie",Bac Général,,,
"Licence en Musique et
Musicologie
Filière à Test",30201,Institut Supérieur de Musique de Sousse,"Musique et Interprétation
Musique et Musicologie",Bac Général,,,
"Licence en Musique et
Musicologie
Filière à Test",40201,Institut Supérieur de Musique de Sfax,"Musique et Interprétation
Musique et Musicologie",Bac Général,,,
"Licence en Musique et
Musicologie
Filière à Test",50201,Institut Supérieur des Arts et Métiers de Gabes,Musique et Musicologie,Bac Général,,,
"Licence en Musique et
Musicologie
Filière à Test",60201,Institut Supérieur des Arts et Métiers de Gafsa,Musique et Musicologie,"Musique et
Musicologie",,,
"Licence en Musique et
Musicologie
Filière à Test",82201,Institut Supérieur de Musique et du Théâtre du Kef,Musique et Musicologie,,,,
"Licence en Arts
Plastiques",10202,Institut Supérieur des Beaux-Arts de Tunis,"Céramique
Gravure
Peinture
Photographie
Sculpture",,,,
"Licence en Arts
Plastiques",22202,Institut Supérieur des Beaux-Arts de Nabeul,,Céramique,,,
"Licence en Arts
Plastiques",30202,Institut Supérieur des Beaux-Arts de Sousse,"Peinture / Sculpture
Arts Médiatiques
Photographie
Céramique / Gravure",,,,
"Licence en Arts
Plastiques",40202,Institut Supérieur des Arts et Métiers de Sfax,"Céramique / Mosaïque
Photographie / Peinture
Tissage / Gravure
Sculpture",,,,
"Licence en Design
Produit",60208,Institut Supérieur des Arts et Métiers de Gafsa,"Création Artisanale
Mobilier",,,,
"Licence en Design
Produit",70208,Institut Supérieur des Arts et Métiers de Kairouan,"Création Artisanale
Création Industrielle
Bijoux",,,,
"Licence en Design
Produit",73208,Institut Supérieur des Arts et Métiers de Kasserine,"Création Industrielle
Création Artisanale",,,,
"Licence en Design
Produit",75208,Institut Supérieur des Arts et Métiers de Sidi Bouzid,,Mobilier,,,
Licence en Design Image,10209,Institut Supérieur des Beaux-arts de Tunis,"Publicité Graphique
Art de l'Animation de l’Image",,,,
Licence en Design Image,11209,Ecole Supérieure des Sciences et Technologies du Design,,Publicité Audiovisuelle,,,
Licence en Design Image,22209,Institut Supérieur des Beaux-Arts de Nabeul,"Publicité Graphique
Publicité Audiovisuelle",,,,
Licence en Design Image,30209,Institut Supérieur des Beaux-Arts de Sousse,,Publicité Graphique,,,
Licence en Design Image,36209,Institut Supérieur des Arts et Métiers de Mahdia,Publicité Graphique,,,,
Licence en Design Image,40209,Institut Supérieur des Arts et Métiers de Sfax,Publicité Graphique,,,,
Licence en Design Image,50209,Institut Supérieur des Arts et Métiers de Gabes,"Publicité Graphique
Publicité Audiovisuelle",,,,
Licence en Design Image,56209,Institut Supérieur des Arts et Métiers de Tataouine,"Publicité Graphique
Publicité Audiovisuelle",,,,
Licence en Design Image,60209,Institut Supérieur des Arts et Métiers de Gafsa,Publicité Graphique,,,,
Licence en Design Image,70209,Institut Supérieur des Arts et Métiers de Kairouan,Publicité Audiovisuelle,,,,
Licence en Design Image,75209,Institut Supérieur des Arts et Métiers de Sidi Bouzid,Publicité Graphique,,,,
Licence en Design Image,86209,Institut Supérieur d'Arts et Métiers de Siliana,Publicité Graphique,,,,
Licence en Droit,10301,Faculté de Droit et des Sciences Politiques de Tunis,"Droit Privé
Droit Public",,,,
Licence en Droit,11301,Faculté des Sciences Juridiques et Politiques et Sociales de Tunis,"Droit Privé
Droit Public",,,,
Licence en Droit,30301,Faculté de Droit et des Sciences Politiques de Sousse,"Droit Public
Droit Privé",,,,
Licence en Droit,40301,Faculté de Droit de Sfax,,Administration et Droit du,,,
Licence en Droit,50301,Institut Supérieur des Etudes Juridiques de Gabes,"Droit Foncier
Droit Public
Droit Privé",,,,
"Licence en Sciences
Economiques",10312,Institut Supérieur de Gestion de Tunis,"Ingénierie Economique et
Financière
Business Economics",,,,
"Licence en Sciences
Economiques",11312,"Ecole Supérieure des Sciences Economiques et Commerciales de
Tunis","Ingénierie Economique et
Financière
Analyse et Politique Economique
Monnaie, Finance, Banque
Assurance
Business Economics",,,,
"Licence en Sciences
Economiques",12312,Ecole Supérieure de Commerce de Manouba,"Commerce et Finance
Internationale
Monnaie, Finance, Banque
Assurance
Ingénierie Economique et
Financière
Economie du Transport et de la
Logistique",,,,
"Licence en Sciences
Economiques",13312,Faculté des Sciences Economiques et de Gestion de Tunis,,Commerce et Finance,,,
"Licence en Sciences
Economiques",14312,Institut National du Travail et des Etudes Sociales de Tunis,"Analyse et Politique
Economique:Economie du Travail",,,,
"Licence en Sciences
Economiques",20312,Institut Supérieur de Gestion de Bizerte,"Ingénierie Economique et
Financière",,,,
"Licence en Sciences
Economiques",40312,Faculté des Sciences Economiques et de Gestion de Sfax,"Economie du Transport et de la
Logistique
Business Economics
Commerce et Finance
Internationale
Ingénierie Economique et
Financière
Analyse et Politique Economique
Monnaie, Finance, Banque
Assurance",Bac Général,"FG+[(M+Sc.Eco.S)/2]
(M et Sc.Eco.S exigées)
M >= 10",,
"Licence en Sciences
Economiques",41312,Ecole Supérieure de Commerce de Sfax,"Monnaie, Finance, Banque et
Assurance
Business Economics
Ingénierie Economique et
Financière
Economie du Transport et de la
Logistique",Bac Général,"FG+[(M+Sc.Eco.S)/2]
(M et Sc.Eco.S exigées)
M >= 10",,
"Licence en Sciences
Economiques",42312,Institut Supérieur d'Administration des affaires de Sfax,"Business Economics
Analyses et Politique Economique",Bac Général,"FG+[(M+Sc.Eco.S)/2]
(M et Sc.Eco.S exigées)
M >= 10",,
"Licence en Sciences
Economiques",43312,Institut des Hautes Etudes Commerciales de Sfax,"Ingénierie Economique et
Financière",Bac Général,"FG+[(M+Sc.Eco.S)/2]
(M et Sc.Eco.S exigées)
M >= 10",,
