filiere,etablissement,specialite,code,type_bac,formule_score,score_dernier,_page
97.88,85,FG+AR,ﺏﺍﺩﺁ,10101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻋﺎﻤﺘﺟﻹﺍﻭ ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍ ﺔﻴﻠﻛ (ﺲﻧﻮﺗ ﺔﻌﻣﺎﺟ)ﺲﻧﻮﺘﺑ,1
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,1
130.94,1,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,1
73.88,14,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,1
98.19,1,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,1
95.24,95,FG+AR,ﺏﺍﺩﺁ,11101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺕﺎﻴﻧﺎﺴﻧﻹﺍﻭ ﻥﻮﻨﻔﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﺔﺑﻮﻨﻣ ﺔﻌﻣﺎﺟ)ﺔﺑﻮﻨﻤﺑ,1
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,1
124.84,2,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,1
80.2,16,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,1
107.01,2,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,1
98.5,50,FG+AR,ﺏﺍﺩﺁ,12101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺭﺎﻨﻤﻟﺍ ﺲﻧﻮﺗ ﺔﻌﻣﺎﺟ)ﺲﻧﻮﺘﺑ,1
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,1
124.03,1,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,1
96.76,8,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,1
104.07,1,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,1
92.61,92,FG+AR,ﺏﺍﺩﺁ,13101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻌﻣﺎﺟ)ﺲﻧﻮﺘﺑ ﺕﺎﻐﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺝﺎﻃﺮﻗ,1
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,1
119.77,2,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,1
93.66,17,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,1
93.16,2,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,1
99.94,30,FG+AR,ﺏﺍﺩﺁ,22101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻌﻣﺎﺟ)ﻞﺑﺎﻨﺑ ﺕﺎﻐﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺝﺎﻃﺮﻗ,1
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,1
109.6,1,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,1
88.45,5,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,1
107.03,1,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,1
100.24,95,FG+AR,ﺏﺍﺩﺁ,30101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﺔﺳﻮﺳ ﺔﻌﻣﺎﺟ)ﺔﺳﻮﺴﺑ,1
108.29,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,1
101.94,2,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,30101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﺔﺳﻮﺳ ﺔﻌﻣﺎﺟ)ﺔﺳﻮﺴﺑ,2
78.85,20,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,2
134.28,2,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,2
92.44,83,FG+AR,ﺏﺍﺩﺁ,40101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻟﺍﻭ ﺏﺍﺩﻵﺍ ﺔﻴﻠﻛ (ﺲﻗﺎﻔﺻ ﺔﻌﻣﺎﺟ)ﺲﻗﺎﻔﺼﺑ,2
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,2
120.01,1,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,2
81.71,12,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,2
-,1,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,2
96.3,45,FG+AR,ﺏﺍﺩﺁ,50101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻌﻣﺎﺟ)ﺲﺑﺎﻘﺑ ﺕﺎﻐﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺲﺑﺎﻗ,2
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,2
118.37,1,FG+AR,ﺔﻴﺒﻳﺮﺠﺗ ﻡﻮﻠﻋ,,,,2
81.94,8,FG+AR,ﻑﺮﺼﺗﻭ ﺩﺎﺼﺘﻗﺇ,,,,2
-,1,FG+AR,ﺔﻴﻣﻼﻋﻹﺍ ﻡﻮﻠﻋ,,,,2
90.84,50,FG+AR,ﺏﺍﺩﺁ,54101,ﺓﺭﺎﻀﺤﻟﺍﻭ ﺏﺍﺩﻵﺍﻭ ﺔﻐﻠﻟﺍ-,ﺔﻴﻧﺎﺴﻧﻹﺍ ﻡﻮﻠﻌﻠﻟ ﻲﻟﺎﻌﻟﺍ ﺪﻬﻌﻤﻟﺍ (ﺲﺑﺎﻗ ﺔﻌﻣﺎﺟ)ﻦﻴﻧﺪﻤﺑ,2
-,1,FG+AR,ﺕﺎﻴﺿﺎﻳﺭ,,,,2
