code;score_2025;samples_count;score_min;score_max
10101;88.140;6;88.140;127.633
10102;103.769;6;103.769;131.530
10103;79.522;6;79.522;147.625
10104;85.132;5;85.132;163.105
10105;93.155;5;93.155;162.025
10106;104.701;5;104.701;162.610
10107;94.612;3;94.612;112.707
10108;96.155;3;96.155;118.547
10118;96.140;5;96.140;177.920
10119;85.862;5;85.862;148.505
10120;68.225;6;68.225;130.540
10121;86.021;5;86.021;187.575
10122;78.947;5;78.947;136.070
10123;94.668;5;94.668;124.250
10124;81.202;5;81.202;159.315
10138;101.281;5;101.281;173.650
10139;93.185;5;93.185;157.402
10158;77.492;5;77.492;162.325
10160;76.405;5;76.405;123.853
10162;77.133;5;77.133;153.285
10164;85.627;6;85.627;136.245
10167;89.814;6;89.814;152.202
10168;92.227;3;92.227;169.528
10190;88.571;5;88.571;148.698
10191;93.509;5;93.509;166.931
10192;92.343;5;92.343;151.350
10193;94.458;5;94.458;184.240
10194;97.660;5;97.660;175.943
10195;91.780;5;91.780;181.250
10200;98.520;5;98.520;176.379
10201;83.660;5;83.660;166.955
10202;71.983;6;71.983;133.420
10203;80.088;4;80.088;158.290
10207;88.295;6;88.295;113.522
10208;109.495;6;109.495;175.191
10209;94.660;5;94.660;115.202
10244;61.072;4;61.072;111.515
10260;96.120;5;96.120;158.724
10265;101.470;5;101.470;126.080
10301;81.193;6;81.193;175.191
10311;74.437;5;74.437;165.875
10312;80.207;5;80.207;167.010
10318;81.742;4;81.742;159.451
10346;104.067;4;104.067;129.352
10347;84.663;4;84.663;104.897
10355;105.935;4;105.935;112.015
10360;119.003;4;119.003;160.867
10362;96.478;6;96.478;149.067
10363;87.448;6;87.448;162.188
10377;96.357;5;96.357;155.030
10391;90.736;4;90.736;160.671
10394;127.195;3;127.195;141.235
10396;114.372;3;114.372;142.700
10443;72.325;6;72.325;107.278
10450;74.223;5;74.223;149.019
10452;111.315;5;111.315;150.295
10453;93.780;5;93.780;143.953
10470;94.599;3;94.599;124.320
10473;80.812;5;80.812;120.252
10501;119.027;3;119.027;175.563
10502;85.102;3;85.102;167.383
10503;100.111;3;100.111;156.615
10504;98.315;3;98.315;167.550
10505;82.193;3;82.193;178.820
10507;78.907;3;78.907;119.817
10509;97.195;5;97.195;158.301
10510;91.635;3;91.635;119.450
10512;78.587;3;78.587;96.479
10513;105.941;3;105.941;113.869
10514;101.349;4;101.349;187.540
10516;102.585;4;102.585;170.505
10517;106.742;4;106.742;169.279
10518;93.005;4;93.005;140.325
10520;90.716;3;90.716;159.163
10521;99.048;3;99.048;131.970
10522;101.160;5;101.160;164.625
10523;89.297;5;89.297;149.185
10524;86.350;4;86.350;171.120
10532;112.157;3;112.157;183.227
10545;129.096;4;129.096;181.333
10546;79.676;5;79.676;160.825
10547;77.130;4;77.130;113.735
10548;99.334;4;99.334;124.259
10566;133.815;3;133.815;149.200
10568;88.300;4;88.300;128.409
10570;115.763;5;115.763;160.768
10571;99.742;4;99.742;149.051
10572;105.811;4;105.811;171.664
10573;109.425;3;109.425;177.810
10603;87.364;4;87.364;108.645
10611;79.218;5;79.218;120.306
10612;74.221;6;74.221;153.523
10622;108.450;5;108.450;161.634
10629;118.053;3;118.053;173.925
10700;111.119;3;111.119;190.330
10740;112.565;3;112.565;184.795
10741;112.775;4;112.775;183.628
10742;128.745;4;128.745;182.200
10743;121.410;3;121.410;171.590
10744;103.733;3;103.733;147.230
10745;119.945;3;119.945;150.945
10746;131.600;3;131.600;170.020
10747;118.652;3;118.652;138.956
10748;143.260;3;143.260;151.608
10750;131.315;3;131.315;176.978
10753;120.108;4;120.108;181.253
10754;138.383;3;138.383;176.970
