code;score_2025;samples_count;score_min;score_max
10101;80.200;4;80.200;97.880
10102;110.400;5;110.400;148.410
10103;67.570;6;67.570;113.240
10104;99.180;4;99.180;160.390
10105;79.910;3;79.910;135.980
10106;97.800;4;97.800;157.900
10107;75.510;5;75.510;138.560
10108;103.310;4;103.310;139.900
10118;94.950;6;94.950;131.540
10119;74.620;4;74.620;108.820
10120;83.800;5;83.800;133.020
10121;76.140;5;76.140;157.950
10122;99.480;4;99.480;137.450
10123;72.920;4;72.920;91.290
10124;71.230;3;71.230;78.480
10138;97.160;3;97.160;126.700
10139;80.330;7;80.330;147.190
10158;88.410;4;88.410;117.470
10160;89.350;4;89.350;117.480
10162;83.980;3;83.980;120.210
10164;79.080;3;79.080;82.550
10167;74.600;3;74.600;104.200
10168;81.130;5;81.130;156.010
10190;100.720;4;100.720;109.370
10191;75.500;4;75.500;150.680
10192;104.280;4;104.280;153.100
10193;91.430;4;91.430;129.860
10194;89.450;4;89.450;129.600
10195;111.600;4;111.600;122.140
10200;78.090;5;78.090;96.990
10201;84.580;4;84.580;125.980
10202;87.270;3;87.270;120.010
10203;88.770;4;88.770;155.160
10207;82.150;6;82.150;183.550
10208;75.720;5;75.720;116.480
10209;83.350;4;83.350;122.790
10244;93.810;4;93.810;158.620
10260;86.600;5;86.600;123.740
10265;83.660;9;83.660;124.010
10301;120.140;7;120.140;160.170
10311;108.730;4;108.730;177.060
10312;115.200;3;115.200;147.830
10318;83.270;4;83.270;142.130
10346;76.310;4;76.310;147.030
10347;92.630;4;92.630;164.800
10355;74.790;5;74.790;113.920
10360;83.800;4;83.800;144.380
10362;82.590;5;82.590;114.650
10363;89.750;5;89.750;139.370
10377;91.700;4;91.700;170.940
10391;98.140;9;98.140;171.480
10394;106.880;9;106.880;140.490
10396;104.250;4;104.250;143.630
10443;104.340;6;104.340;172.580
10450;85.120;6;85.120;173.500
10452;95.010;5;95.010;138.810
10453;88.160;7;88.160;148.570
10470;84.750;4;84.750;115.600
10473;98.590;6;98.590;154.310
10501;100.140;4;100.140;149.180
10502;97.140;3;97.140;102.130
10503;82.900;3;82.900;98.790
10504;108.430;3;108.430;121.730
10505;90.210;3;90.210;115.810
10507;111.060;3;111.060;130.980
10509;90.690;3;90.690;113.580
10510;105.560;1;105.560;105.560
10512;91.480;2;91.480;113.320
10513;108.410;1;108.410;108.410
10514;103.590;3;103.590;180.400
10516;115.420;4;115.420;144.780
10517;121.620;7;121.620;187.370
10518;165.910;3;165.910;184.030
10520;118.850;3;118.850;176.660
10521;148.160;3;148.160;183.410
10522;159.070;3;159.070;169.810
10523;99.670;3;99.670;194.420
10524;93.950;3;93.950;170.760
10532;133.010;2;133.010;165.740
